Retention,MaxLevelPassed,User_id,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC,Paying
0,27,2114,B,0,0,26,5,25,5,0,0,0,0,0,0,0,0,0,0,0,0,False
1,40,2114,B,0,0,50,13,49,13,0,280,0,0,0,0,0,0,0,0,0,0,False
2,45,2114,B,0,0,26,5,25,5,0,0,0,0,0,0,0,0,0,0,0,0,False
3,51,2114,B,0,0,25,6,20,5,0,0,0,0,0,0,0,0,0,0,0,0,False
4,53,2114,B,0,0,5,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,False
5,55,2114,B,0,0,11,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,False
6,64,2114,B,0,0,32,11,26,7,0,150,0,0,0,0,0,0,0,0,0,0,False
7,65,2114,B,0,0,8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,39,2115,B,0,0,13,2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,False
1,45,2115,B,0,0,19,6,14,4,0,0,0,0,0,0,0,0,0,0,0,0,False
2,57,2115,B,0,0,73,12,67,9,0,0,0,0,0,0,0,0,0,0,0,0,False
3,59,2115,B,0,0,65,2,62,2,0,0,0,0,0,0,0,0,0,0,0,0,False
4,59,2115,B,0,0,29,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,69,2115,B,0,0,67,12,63,10,0,490,0,0,0,0,0,0,0,0,990,0,False
6,77,2115,B,0,0,78,8,78,8,0,0,0,0,0,0,0,0,0,0,0,0,False
7,83,2115,B,0,0,36,6,35,6,0,0,0,0,0,0,0,0,0,0,0,0,False
0,11,2116,B,0,0,12,11,10,9,0,0,0,0,0,0,0,0,0,0,990,0,False
0,76,2117,B,0,0,17,6,17,6,0,0,0,0,0,0,0,0,0,0,0,0,False
0,95,2118,B,0,0,24,4,24,4,0,0,0,0,0,0,0,0,0,0,0,0,False
1,100,2118,B,0,0,49,5,47,5,0,0,0,0,0,0,0,0,0,0,990,0,False
2,110,2118,B,0,0,83,10,82,10,0,0,0,0,0,0,0,0,0,0,0,0,False
3,121,2118,B,0,0,56,11,54,10,0,0,0,0,0,0,0,0,0,0,0,0,False
4,131,2118,B,0,0,37,10,37,10,0,180,0,0,0,0,0,0,0,0,0,0,False
5,135,2118,B,0,0,48,4,47,3,0,0,0,0,0,0,0,0,0,0,0,0,False
6,146,2118,B,0,0,82,11,74,6,0,0,0,0,0,0,0,0,0,0,990,0,False
7,151,2118,B,0,0,19,5,19,5,0,0,0,0,0,0,0,0,0,0,0,0,False
0,34,2119,B,0,0,62,34,55,29,0,0,0,0,0,100,0,0,0,0,1980,0,False
2,34,2119,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,0,2120,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,37,2121,B,0,0,28,6,26,6,0,410,0,0,0,0,0,0,0,0,0,0,False
1,50,2121,B,0,0,39,13,37,11,0,0,0,0,0,0,0,0,0,0,0,0,False
2,57,2121,B,0,0,23,7,22,6,0,0,0,0,0,0,0,0,0,0,0,0,False
3,63,2121,B,0,0,25,6,16,2,0,130,0,0,0,0,0,0,0,0,0,0,False
4,65,2121,B,0,0,9,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,False
5,71,2121,B,0,0,35,7,32,7,0,0,0,0,0,0,0,0,0,0,0,0,False
6,77,2121,B,0,0,34,6,31,6,0,0,0,0,0,0,0,0,0,0,0,0,False
0,24,2122,B,0,0,7,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,False
1,28,2122,B,0,0,22,5,21,5,0,0,0,0,0,0,0,0,0,0,990,0,False
2,28,2122,B,0,0,14,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,False
0,62,2123,B,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,62,2123,B,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,62,2123,B,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,63,2123,B,0,0,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,False
4,63,2123,B,0,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,66,2123,B,0,0,24,3,23,3,0,0,0,0,0,0,0,0,0,0,0,0,False
6,67,2123,B,0,0,65,11,65,11,0,0,0,0,0,0,0,0,0,0,0,0,False
7,70,2123,B,0,0,75,3,75,3,0,0,0,0,0,0,0,0,0,0,0,0,False
0,39,2124,B,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,39,2124,B,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,45,2124,B,0,0,7,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,False
3,51,2124,B,0,0,24,6,21,5,0,0,0,0,0,0,0,0,0,0,0,0,False
4,55,2124,B,0,0,12,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,False
5,55,2124,B,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,55,2124,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,56,2124,B,0,0,14,6,13,6,0,0,0,0,0,0,0,0,0,0,0,0,False
0,83,2125,B,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,83,2125,B,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,83,2125,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,83,2125,B,0,0,23,7,23,7,0,0,0,0,0,0,0,0,0,0,0,0,False
0,32,2126,B,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False
1,32,2126,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,34,2126,B,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,False
7,38,2126,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,20,2127,B,0,0,29,20,19,12,0,0,0,0,0,100,0,0,0,0,2970,0,False
1,24,2127,B,0,0,9,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,False
2,27,2127,B,0,0,8,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,False
3,31,2127,B,0,0,23,4,20,2,0,0,0,0,0,0,0,0,0,0,0,0,False
4,34,2127,B,0,0,11,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,False
5,37,2127,B,0,0,6,3,5,2,0,210,0,0,0,0,0,0,0,0,0,0,False
6,38,2127,B,0,0,13,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,False
7,39,2127,B,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,False
0,58,2128,B,0,0,22,2,22,2,0,0,0,0,0,0,0,0,0,0,0,0,False
1,70,2128,B,0,0,96,12,89,10,0,170,0,0,0,0,0,0,0,0,0,0,False
2,70,2128,B,0,0,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,86,2128,B,0,0,84,16,79,15,0,0,0,0,0,0,0,0,0,0,0,0,False
4,94,2128,B,0,0,55,8,49,7,0,180,0,0,0,0,0,0,0,0,0,0,False
5,100,2128,B,0,0,60,14,56,14,0,0,0,0,0,0,0,0,0,0,0,0,False
6,100,2128,B,0,0,61,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,100,2128,B,0,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,37,2129,B,0,0,70,20,65,19,0,140,0,0,0,100,0,0,0,0,990,0,False
1,40,2129,B,0,0,27,3,23,1,0,0,0,0,0,0,0,0,0,0,0,0,False
5,40,2129,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,40,2129,B,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,32,2130,B,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,32,2130,B,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,32,2130,B,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,34,2130,B,0,0,16,2,16,2,0,0,0,0,0,0,0,0,0,0,0,0,False
4,34,2130,B,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,35,2130,B,0,0,7,1,7,1,0,240,0,0,0,0,0,0,0,0,0,0,False
7,35,2130,B,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,65,2131,B,0,0,15,11,14,10,0,0,0,0,0,0,0,0,0,0,0,0,False
1,67,2131,B,0,0,24,5,22,5,0,0,0,0,0,0,0,0,0,0,0,0,False
3,70,2131,B,0,0,23,3,20,2,0,0,0,0,0,0,0,0,0,0,0,0,False
