Retention;MaxLevelPassed;User_id;AB_Cohort;SumRevenue;CountBuy;CountAllStart;CountAllFinish;CountCleanStart;CountCleanFinish;Get_Ads;Get_Chapter;Get_Buy;Get_Faceb;Get_TeamL;Get_TeamT;Spend_BonLives;Spend_Bonus;Spend_Boost;Spend_Lives;Spend_Moves;Spend_TeamC
2;43;2304;A;0;0;5;0;5;0;0;0;0;0;20;0;0;0;0;0;0;0
4;43;2304;A;0;0;10;0;10;0;0;0;0;0;30;0;0;0;0;0;0;0
0;34;2305;A;0;0;7;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0
1;34;2305;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;34;2305;A;0;0;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
0;34;2306;A;0;0;65;34;58;29;0;0;0;0;0;100;0;0;0;0;0;0
0;18;2307;A;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6;20;2307;A;0;0;9;2;9;2;0;0;0;0;0;100;0;0;0;0;0;0
0;20;2308;A;0;0;10;6;9;5;0;0;0;0;0;100;0;0;0;0;0;0
0;43;2309;A;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0;70;2310;A;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
1;75;2310;A;0;0;63;20;58;19;0;0;0;0;30;0;0;0;0;0;990;0
2;84;2310;A;0;0;62;9;55;6;0;0;0;0;20;0;0;0;0;0;0;0
3;93;2310;A;0;0;60;9;56;6;0;130;0;0;50;0;0;0;0;0;0;0
4;94;2310;A;0;0;8;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0
5;95;2310;A;0;0;59;9;58;9;0;0;0;0;40;0;0;0;0;0;0;0
6;95;2310;A;0;0;57;2;56;2;0;0;0;0;10;0;0;0;0;0;0;0
7;95;2310;A;0;0;38;2;37;2;0;0;0;0;10;0;0;0;0;0;0;0
0;41;2311;A;0;0;9;2;8;2;0;0;0;0;0;0;0;0;0;0;0;0
1;42;2311;A;0;0;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
2;45;2311;A;0;0;20;3;17;3;0;0;0;0;0;0;0;0;0;0;0;0
3;45;2311;A;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
4;46;2311;A;0;0;8;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0
5;46;2311;A;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6;48;2311;A;0;0;4;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0
7;48;2311;A;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;55;2312;A;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
2;56;2312;A;0;0;6;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0
3;56;2312;A;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;60;2312;A;0;0;30;4;24;3;0;240;0;0;0;0;0;0;0;0;0;0
5;70;2312;A;0;0;23;10;23;10;0;0;0;0;0;0;0;0;0;0;0;0
7;76;2312;A;0;0;12;6;11;6;0;0;0;0;0;0;0;0;0;0;0;0
0;9;2313;A;0;0;11;9;10;8;0;0;0;0;0;0;0;0;0;0;0;0
0;14;2314;A;0;0;18;14;13;11;0;0;0;0;0;0;0;0;0;0;2970;0
